index,id,title,date,tags,images
402,3aad6f94-3ef1-80fe-b049-c4fb79c5230d,Action By League in Palestine Urged,1936-08-27,Israel/Palestine; Intent in Israel/Palestine; UN & League of Nations,images/0402-Action-By-League-in-Palestine-Urged-1.png
403,3aad6f94-3ef1-8032-bfbb-d7e4289cb7ef,Danzig Court Backs Boycotting of Jews,1936-08-05,Germany; Nazis/Fascists; Western Antisemitism; Legal Restrictions against Jews; Boycotts against Jews; Europe,images/0403-Danzig-Court-Backs-Boycotting-of-Jews-1.png
404,3aad6f94-3ef1-8093-b8ba-f2c0c21171f5,"50,000 attend rites of 2 slain in Jaffa",1936-08-19,Targeting of Civilians; Israel/Palestine; Arab World; Islamic World,images/0404-50-000-attend-rites-of-2-slain-in-Jaffa-1.png
405,3aad6f94-3ef1-80af-a130-efb5393fd01b,Terror in Poland Reported by Jews,1936-08-11,Poland; Victim Blaming/Justification of Antisemitism; Western Antisemitism; Europe; UN & League of Nations; Pogroms,images/0405-Terror-in-Poland-Reported-by-Jews-1.png
406,3aad6f94-3ef1-8046-9adb-c3aabb47df1e,Arabs Slay Three Jews,1936-08-18,Israel/Palestine; Islamic World; Arab World; Targeting of Civilians,images/0406-Arabs-Slay-Three-Jews-1.png
407,3aad6f94-3ef1-80e4-9f71-cfd509eb4a29,Bomb Kills 3 Jews in New Arab Attack,1936-08-14,Targeting of Civilians; Targeting of Children; Israel/Palestine; Arab World; Islamic World; Legal Restrictions against Jews; Terrorism,images/0407-Bomb-Kills-3-Jews-in-New-Arab-Attack-1.png
408,3aad6f94-3ef1-8032-88b3-e44ea579a44e,Arab Terrorism Breaks Out Again,1936-08-12,Arab World; Israel/Palestine; Islamic World; Hashemites; Muslim Antisemitism; Terrorism,images/0408-Arab-Terrorism-Breaks-Out-Again-1.png
409,3aad6f94-3ef1-80ba-9692-c05bf73c968f,Nazis Whipping Up Anti-Jewish Spirit,1935-08-14,Western Antisemitism; Nazis/Fascists; Germany; Europe,images/0409-Nazis-Whipping-Up-Anti-Jewish-Spirit-1.png
410,3aad6f94-3ef1-8025-8e3f-db0d0d6b39d2,Cultural Ghetto Ordered by Nazis,1935-08-18,Nazis/Fascists; Germany; Legal Restrictions against Jews; Europe; Western Antisemitism,images/0410-Cultural-Ghetto-Ordered-by-Nazis-1.png
411,3aad6f94-3ef1-80e9-acb2-cc506559d2f5,More Jews to Flee New German Bans,1935-08-17,Western Antisemitism; Legal Restrictions against Jews; Germany; Nazis/Fascists; Europe; Ghettos,images/0411-More-Jews-to-Flee-New-German-Bans-1.png
412,3aad6f94-3ef1-805c-ab01-fab17ebaed5b,Nazis are Blocked in Exiling of Jews,1935-08-10,Nazis/Fascists; Western Antisemitism; Europe; Legal Restrictions against Jews,images/0412-Nazis-are-Blocked-in-Exiling-of-Jews-1.png
413,3aad6f94-3ef1-8049-8001-d6368f47ef40,New Attacks in Press,1935-08-23,Germany; Nazis/Fascists; Europe; Western Antisemitism,images/0413-New-Attacks-in-Press-1.png
414,3aad6f94-3ef1-805e-9408-c3d5a7aedfed,Ludendorff Charges Jews Fan Japan’s Nationalism,1935-08-25,Japan; Germany; Nazis/Fascists; Jewish Puppet Master Trope; Western Antisemitism,images/0414-Ludendorff-Charges-Jews-Fan-Japan-s-Nationalism-1.png
